simulation,analysis,data,node,trial,scenario,heuristic,type,time,simulator-normalization
1,4,4,128,2,transit,model-model,Model(B2),67.51406836398773,4.28899793801282092153
1,4,4,128,2,transit,model-model,Model(B3),260.0190409671741,1.11364036619362905540
1,4,4,128,2,transit,model-even,Simulator,289.5817,1.0
1,4,4,128,2,transit,model-even,Model(B),5.408641730341513,53.54055869064102405982
1,4,4,128,2,transit,model-even,Model(B1),7.388839750143491,39.19176890991259268917
1,4,4,128,2,transit,model-even,Model(B2),68.91689992480298,4.20189678171783867720
1,4,4,128,2,transit,model-even,Model(B3),261.4218725279893,1.10771794723869461251
1,4,4,128,2,transit,even-model,Simulator,,1.0
1,4,4,128,2,transit,even-model,Model(B),6.321669173783645,
1,4,4,128,2,transit,even-model,Model(B1),9.446669173783645,
1,4,4,128,2,transit,even-model,Model(B2),106.54563913691813,
1,4,4,128,2,transit,even-model,Model(B3),410.34254902632154,
1,4,4,128,2,transit,even-even,Simulator,,1.0
1,4,4,128,2,transit,even-even,Model(B),8.5355127306952,
1,4,4,128,2,transit,even-even,Model(B1),11.6605127306952,
1,4,4,128,2,transit,even-even,Model(B2),108.7594826938297,
1,4,4,128,2,transit,even-even,Model(B3),412.5563925832331,
1,4,4,128,2,increasing0.25,model-model,Simulator,72.7857,1.0
1,4,4,128,2,increasing0.25,model-model,Model(B),4.093896536565183,17.77907657164874871327
1,4,4,128,2,increasing0.25,model-model,Model(B1),4.093896536565183,17.77907657164874871327
1,4,4,128,2,increasing0.25,model-model,Model(B2),36.36618009185791,2.00146674234548275660
1,4,4,128,2,increasing0.25,model-model,Model(B3),36.36618009185791,2.00146674234548275660
1,4,4,128,2,increasing0.25,model-even,Simulator,72.7905,1.0
1,4,4,128,2,increasing0.25,model-even,Model(B),4.944393279359032,14.72182649868746275927
1,4,4,128,2,increasing0.25,model-even,Model(B1),4.944393279359032,14.72182649868746275927
1,4,4,128,2,increasing0.25,model-even,Model(B2),36.36618009185791,2.00159873311239519019
1,4,4,128,2,increasing0.25,model-even,Model(B3),36.36618009185791,2.00159873311239519019
1,4,4,128,2,increasing0.25,even-model,Simulator,72.7809,1.0
1,4,4,128,2,increasing0.25,even-model,Model(B),6.204811938231606,11.72975115515633525619
1,4,4,128,2,increasing0.25,even-model,Model(B1),6.204811938231606,11.72975115515633525619
1,4,4,128,2,increasing0.25,even-model,Model(B2),17.614868481993675,4.13178787422672586482
1,4,4,128,2,increasing0.25,even-model,Model(B3),17.614868481993675,4.13178787422672586482
1,4,4,128,2,increasing0.25,even-even,Simulator,72.7883,1.0
1,4,4,128,2,increasing0.25,even-even,Model(B),7.493846064028532,9.71307648677140834603
1,4,4,128,2,increasing0.25,even-even,Model(B1),7.493846064028532,9.71307648677140834603
1,4,4,128,2,increasing0.25,even-even,Model(B2),17.614868481993675,4.13220797387195253516
1,4,4,128,2,increasing0.25,even-even,Model(B3),17.614868481993675,4.13220797387195253516
1,4,4,128,2,increasing0.5,model-model,Simulator,,1.0
1,4,4,128,2,increasing0.5,model-model,Model(B),4.0632849528600525,
1,4,4,128,2,increasing0.5,model-model,Model(B1),5.290217459614839,
1,4,4,128,2,increasing0.5,model-model,Model(B2),53.718412247654044,
1,4,4,128,2,increasing0.5,model-model,Model(B3),104.76098612066056,
1,4,4,128,2,increasing0.5,model-even,Simulator,144.9934,1.0
1,4,4,128,2,increasing0.5,model-even,Model(B),4.635275366695994,31.28042856779633432448
1,4,4,128,2,increasing0.5,model-even,Model(B1),5.720176685937056,25.34771353417517258848
